City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
42,Puerto Ayora,EC,2022-04-14 23:20:38,-0.7393,-90.3518,78.08,82,97,8.66
43,Rocha,UY,2022-04-14 23:20:38,-34.4833,-54.3333,51.26,76,0,6.64
44,Busselton,AU,2022-04-14 23:21:39,-33.65,115.3333,56.71,86,0,7.56
45,Port Alfred,ZA,2022-04-14 23:21:39,-33.5906,26.891,63.18,94,99,5.99
46,Sao Joao Da Barra,BR,2022-04-14 23:21:39,-21.6403,-41.0511,75.58,89,84,12.48
47,Vila Velha,BR,2022-04-14 23:19:02,-20.3297,-40.2925,78.75,90,75,5.75
48,Lavrentiya,RU,2022-04-14 23:21:40,65.5833,-171.0,32.9,99,100,11.56
49,Longyearbyen,SJ,2022-04-14 23:21:40,78.2186,15.6401,19.24,73,75,5.75
50,Richards Bay,ZA,2022-04-14 23:21:41,-28.783,32.0377,69.04,88,31,3.87
51,San Ramon De La Nueva Oran,AR,2022-04-14 23:17:06,-23.1322,-64.326,64.42,85,26,2.42
52,Kavieng,PG,2022-04-14 23:21:41,-2.5744,150.7967,83.86,74,67,11.43
53,Kodiak,US,2022-04-14 23:18:31,57.79,-152.4072,45.91,49,75,13.8
54,Qaanaaq,GL,2022-04-14 23:21:41,77.484,-69.3632,-3.32,90,98,4.09
55,Port Lincoln,AU,2022-04-14 23:21:42,-34.7333,135.8667,67.21,80,10,8.14
56,Nioro,GM,2022-04-14 23:21:42,13.35,-15.75,80.98,37,22,8.55
57,Ambilobe,MG,2022-04-14 23:21:42,-13.2,49.05,73.89,89,37,3.09
58,Mimongo,GA,2022-04-14 23:17:18,-1.6195,11.6068,68.11,96,63,1.77
59,Avera,US,2022-04-14 23:21:43,33.194,-82.5271,75.54,77,98,8.19
60,Sungaipenuh,ID,2022-04-14 23:21:43,-2.0833,101.3833,64.26,96,100,1.03
61,Brae,GB,2022-04-14 23:21:44,60.3964,-1.353,42.98,80,100,9.62
62,Nemuro,JP,2022-04-14 23:21:44,43.3236,145.575,33.84,91,100,4.81
63,Poso,ID,2022-04-14 23:21:44,-1.3959,120.7524,78.12,86,100,3.85
64,Saldanha,ZA,2022-04-14 23:21:45,-33.0117,17.9442,50.05,67,5,18.52
65,Kungurtug,RU,2022-04-14 23:21:45,50.5994,97.5228,9.95,89,16,2.64
66,Dawson Creek,CA,2022-04-14 23:21:46,55.7666,-120.2362,31.64,32,0,10.36
67,Kamenka,RU,2022-04-14 23:21:46,51.3223,42.7678,43.57,88,100,12.75
68,Duncanville,US,2022-04-14 23:21:46,32.6518,-96.9083,75.74,31,0,16.11
69,Te Anau,NZ,2022-04-14 23:21:47,-45.4167,167.7167,56.93,60,8,1.41
70,Tuktoyaktuk,CA,2022-04-14 23:21:47,69.4541,-133.0374,-2.2,78,20,9.22
71,Acajutla,SV,2022-04-14 23:21:47,13.5928,-89.8275,86.02,61,29,7.76
72,Clyde River,CA,2022-04-14 23:21:48,70.4692,-68.5914,1.63,71,20,10.36
73,Arraial Do Cabo,BR,2022-04-14 23:20:18,-22.9661,-42.0278,75.83,83,53,12.44
74,Esmeraldas,BR,2022-04-14 23:21:48,-19.7625,-44.3139,78.04,87,38,3.22
75,Diffa,NE,2022-04-14 23:21:48,13.3154,12.6113,87.19,13,95,2.62
76,Hermanus,ZA,2022-04-14 23:21:49,-34.4187,19.2345,55.8,78,47,9.62
77,Luderitz,NA,2022-04-14 23:21:49,-26.6481,15.1594,59.92,80,16,21.32
78,Kudahuvadhoo,MV,2022-04-14 23:21:49,2.6708,72.8944,84.18,74,71,9.33
79,Victoria,HK,2022-04-14 23:18:08,22.2855,114.1577,75.38,69,14,18.99
80,Luwuk,ID,2022-04-14 23:21:50,-0.9516,122.7875,80.02,80,100,1.81
