City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
394,Rio Grande,BR,-32.035,-52.0986,77.11,60,72,10.04,broken clouds
395,Ust-Omchug,RU,61.15,149.6333,3.22,99,100,2.8,overcast clouds
396,Kroya,ID,-7.6331,109.2461,81.03,85,100,5.17,overcast clouds
397,Saint-Francois,FR,46.4154,3.9054,68.68,33,0,11.5,clear sky
398,Takoradi,GH,4.8845,-1.7554,83.8,74,100,10.0,light rain
399,Lata,PT,40.1629,-8.3327,75.49,50,100,7.78,overcast clouds
400,Blagoyevo,RU,63.3667,47.9167,36.01,88,100,10.74,overcast clouds
401,Bagdarin,RU,54.4333,113.6,31.1,90,100,4.07,overcast clouds
402,Neuquen,AR,-38.9516,-68.0591,53.49,82,75,6.91,broken clouds
403,Metro,ID,-5.1131,105.3067,77.34,85,32,3.76,scattered clouds
404,Porto Novo,BJ,6.4965,2.6036,89.49,59,61,12.03,broken clouds
405,Nieuw Amsterdam,SR,5.8833,-55.0833,86.02,71,75,8.05,broken clouds
406,Anchorage,US,61.2181,-149.9003,37.44,78,100,3.44,overcast clouds
407,Taree,AU,-31.9,152.4667,58.93,100,40,0.0,scattered clouds
408,Buraydah,SA,26.326,43.975,90.5,7,0,9.24,clear sky
409,Clyde River,CA,70.4692,-68.5914,-8.05,94,98,4.32,overcast clouds
410,Vintar,PH,18.2284,120.6475,78.91,74,23,7.83,few clouds
411,Dalbandin,PK,28.8947,64.4101,89.82,14,97,6.22,overcast clouds
412,Vardo,NO,70.3705,31.1107,38.46,86,100,14.09,overcast clouds
413,Chifeng,CN,42.2683,118.9636,55.11,29,100,5.88,overcast clouds
414,Isla Vista,US,34.4133,-119.861,54.41,79,0,6.91,clear sky
415,Manthani,IN,18.65,79.6667,99.48,19,31,6.42,scattered clouds
416,La Ronge,CA,55.1001,-105.2842,24.3,89,91,3.83,overcast clouds
417,North Bend,US,43.4065,-124.2243,38.86,96,0,8.05,clear sky
418,Umm Kaddadah,SD,13.6017,26.6876,101.66,15,99,0.58,overcast clouds
419,Pacific Grove,US,36.6177,-121.9166,48.31,88,40,8.99,scattered clouds
420,Shenkursk,RU,62.1091,42.896,39.18,82,100,9.42,overcast clouds
421,Yar-Sale,RU,66.8333,70.8333,15.49,92,76,8.75,broken clouds
422,Akhtanizovskaya,RU,45.32,37.1,57.67,59,100,4.38,overcast clouds
423,Sakakah,SA,29.9697,40.2064,84.36,6,11,4.45,few clouds
424,Ponta Do Sol,PT,32.6667,-17.1,75.13,41,100,12.12,overcast clouds
425,Juruti,BR,-2.1522,-56.0922,81.32,79,100,3.89,moderate rain
426,Vagur,FO,61.4732,-6.8119,46.89,96,100,14.45,overcast clouds
427,Kachiry,KZ,53.0675,76.1036,57.88,50,100,11.86,overcast clouds
428,Poum,NC,-20.2333,164.0167,78.33,62,70,2.3,broken clouds
429,Camana,PE,-16.6228,-72.7111,68.47,77,79,7.31,broken clouds
430,Mpwapwa,TZ,-6.35,36.4833,76.87,66,74,8.68,light rain
431,Coahuayana,MX,18.7333,-103.6833,74.68,75,100,2.91,overcast clouds
432,Pergamino,AR,-33.89,-60.5736,69.19,55,20,6.24,few clouds
433,Hutchinson,US,38.0608,-97.9298,47.73,56,100,12.66,overcast clouds
434,Katobu,ID,-4.9408,122.5276,75.02,97,100,5.37,overcast clouds
435,Labrea,BR,-7.2586,-64.7981,80.17,91,94,3.09,overcast clouds
436,Leningradskiy,RU,69.3833,178.4167,0.28,97,29,3.67,scattered clouds
437,Kidal,ML,18.4411,1.4078,89.6,9,92,10.83,overcast clouds
438,Tashtyp,RU,52.7939,89.8983,53.53,70,90,5.03,overcast clouds
439,Ambon,ID,-3.6954,128.1814,77.14,94,40,5.75,scattered clouds
440,Kitimat,CA,54.0524,-128.6534,32.86,85,28,1.39,scattered clouds
441,Kerman,IR,30.2832,57.0788,70.11,19,99,2.77,overcast clouds
442,Askiz,RU,53.1319,90.5264,57.96,50,93,4.97,overcast clouds
443,Cordoba,AR,-31.4135,-64.1811,71.76,50,0,10.36,clear sky
444,Taksimo,RU,56.3444,114.8794,29.23,98,100,1.16,light snow
445,Derzhavinsk,KZ,51.1,66.3167,60.13,45,96,6.82,overcast clouds
446,Ayan,RU,56.45,138.1667,21.9,87,62,6.17,broken clouds
447,Yashkino,RU,55.8736,85.4265,43.84,94,96,3.58,overcast clouds
448,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,73,0,17.27,clear sky
449,Tuatapere,NZ,-46.1333,167.6833,44.13,89,1,3.76,clear sky
450,Kieta,PG,-6.2167,155.6333,79.68,82,100,2.98,overcast clouds
451,Yuryevets,RU,57.3201,43.1041,39.16,58,60,8.32,broken clouds
452,Hobyo,SO,5.3505,48.5268,85.53,71,12,17.02,few clouds
453,Baghdogra,IN,26.7,88.3167,78.93,64,12,7.29,few clouds
454,Naze,JP,28.3667,129.4833,63.52,64,65,7.02,broken clouds
455,Hamilton,US,39.1834,-84.5333,41.61,49,0,13.8,clear sky
456,Evanston,US,42.0411,-87.6901,39.72,60,75,14.97,broken clouds
457,Atlantic City,US,39.3643,-74.4229,51.19,63,0,12.66,clear sky
458,Kerrobert,CA,51.9168,-109.1348,26.42,64,100,3.51,overcast clouds
459,Mayo,US,38.8876,-76.5119,54.01,45,0,17.27,clear sky
460,Portage,US,41.1667,-81.1998,36.1,66,100,8.01,overcast clouds
461,Barentu,ER,15.1139,37.5928,94.01,20,67,9.82,broken clouds
462,Yeppoon,AU,-23.1333,150.7333,69.58,72,9,12.82,clear sky
463,Huilong,CN,31.8111,121.655,57.92,60,100,7.09,overcast clouds
464,Sept-Iles,CA,50.2001,-66.3821,34.81,85,100,2.17,overcast clouds
465,Mount Isa,AU,-20.7333,139.5,67.77,42,0,0.0,clear sky
466,Kurtamysh,RU,54.9103,64.4319,46.58,46,8,7.47,clear sky
467,Luena,AO,-11.7833,19.9167,70.92,82,100,4.52,light rain
468,Hearst,CA,49.6835,-83.6665,20.16,79,100,4.61,overcast clouds
469,Lufilufi,WS,-13.8745,-171.5986,73.18,78,33,14.41,light rain
470,Tazovskiy,RU,67.4667,78.7,10.78,89,78,14.27,broken clouds
471,Mandeville,JM,18.0417,-77.5071,77.4,56,0,4.9,clear sky
472,Colorado,BR,-22.8375,-51.9731,68.99,65,0,10.29,clear sky
473,Mayumba,GA,-3.432,10.6554,82.2,77,94,8.52,light rain
