City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
612,Ranong,TH,81.28,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
613,Sainte-Maxime,FR,73.94,overcast clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
615,Nguruka,TZ,72.93,light rain,-5.1092,31.0419,RUSULI LODGE
622,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
625,Galveston,US,77.05,mist,29.3669,-94.9669,Crystal Suites
631,Hambantota,LK,81.23,broken clouds,6.1241,81.1185,Bungalow 63
634,Dibulla,CO,82.51,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
638,Labuan,MY,82.36,clear sky,5.2767,115.2417,Tiara Labuan Hotel
639,Ailigandi,PA,81.48,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
648,Freetown,SL,82.4,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
649,Chaah,MY,77.05,moderate rain,2.249,103.048,OYO 90383 Chaah Homestay 1
655,Antalaha,MG,80.46,clear sky,-14.9003,50.2788,Hotel Vitasoa
657,Vung Tau,VN,82.83,few clouds,10.346,107.0843,Seaside Resort
